Phylum	Class	Order	Family	Genus	Species	OTU	contaminant	Control	Mock	Sample
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0130	FALSE	0.0106539168936826	0.000984935387910821	0.063036218896466
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0206	FALSE	0.00182242309374544	0	0.0280305091477906
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0219	FALSE	0.00378780704910892	0.000101994190410914	0.0220101113697388
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0240	FALSE	0	0	0.0198614972098078
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0257	FALSE	0.00189390352455446	0.000101994190410914	0.0158957164744215
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0276	FALSE	0.00245443686066834	0.00142543574345067	0.0140687712088023
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0344	FALSE	0	0	0.00669388090537621
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0368	FALSE	0.0133244503664224	0	0.00351863110348437
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0382	FALSE	0	0	0.00452367945311458
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0429	FALSE	0	0	0.00323918664229728
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0430	FALSE	0	0.000101994190410914	0.00340337287894885
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0441	FALSE	0	0	0.0019096554901062
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0460	FALSE	0	0.000137809382062731	0.00241977948240003
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0461	FALSE	0.00298027060857126	0	0.00240802724614186
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0486	FALSE	0	0	0.00187986958153823
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0534	FALSE	0	0	0.00130666260730788
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0553	FALSE	0	0	0.00108278230969635
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0570	FALSE	0	0	0.000927178751266593
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Genus_Intestinimonas	ASV_0677	FALSE	0	0	0.000408700685691832
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	Genus_Lachnoanaerobaculum	ASV_0392	FALSE	0	0.000407976761643657	0.0040872156785385
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0390	FALSE	0	0	0.00384640728534311
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0466	FALSE	0	0	0.00226082411335889
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0480	FALSE	0	0	0.0020646010585305
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0535	FALSE	0	0	0.000935266889723229
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0546	FALSE	0	0	0.000886943690943899
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0551	FALSE	0	0	0.000996599682058132
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0565	FALSE	0	0	0.000869284233048775
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0573	FALSE	0	0	0.000785142236073045
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0588	FALSE	0	0	0.00109812798125175
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0604	FALSE	0	0	0.000605145509866412
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0610	FALSE	0	0	0.000538355438372255
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0625	FALSE	0	0	0.000598152800278765
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0704	FALSE	0	0	0.000215188142194755
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Genus_Lactobacillus	ASV_0758	FALSE	0	0	0.000139257373131361
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Lawsonibacter	Genus_Lawsonibacter	ASV_0119	FALSE	0.0216666153970189	0.000455684962878151	0.0775545078019541
